Waste type,Initial pH ,Initial carbon to nitrogen,Initial moisture content (%),Compost time (day),pH,Temperature (℃),Moisture content (%),EC（ms/cm-1）,Ammonia(mg/kg,Nitrate(mg/kg),Total nitrogen (%),Change in total organiz carbon (%),Change in organic matter content (%),C/N,GI (%),NH4+-N (g/Kg),NO3--N (g/Kg),CO2 (g/Kg),CH4 (g/Kg),N2O (g/Kg),NH3 (g/Kg)
sludge waste composting,8.01378,10.054,53.668,0.0,29.772,53.668,8.01378,3.9202,42.27,828.65,2.464,24.773056,44.848,10.054,48.778,,,,,,
sludge waste composting,8.01378,10.054,53.668,2.0,43.537,50.151,7.35213,4.2153,207.22,291.85,2.226,18.139674,44.47,8.149,31.122,,,,,,
sludge waste composting,8.01378,10.054,53.668,5.0,79.707,41.357,18.088,18.088,18.088,18.088,18.088,18.088,43.838,7.6,29.925,,,,,,
sludge waste composting,8.01378,10.054,53.668,10.0,80.026,42.487,7.28697,2.966,171.13,756.51,2.338,19.496582,43.207,8.339,51.471,,,,,,
sludge waste composting,8.01378,10.054,53.668,17.0,79.858,44.246,7.17168,2.7451,125.77,929.46,2.016,21.855456,44.217,10.841,53.267,,,,,,
sludge waste composting,8.01378,10.054,53.668,24.0,75.114,35.327,7.04135,2.9229,339.18,503.94,2.226,23.197146,43.586,10.421,83.192,,,,,,
sludge waste composting,8.01378,10.054,53.668,30.0,39.06,30.553,6.95614,3.0366,141.24,514.06,2.296,22.656928,40.808,9.868,97.257,,,,,,
sludge waste composting,8.23935,9.171,58.693,0.0,26.209,58.693,8.23935,1.2854,68.04,398.96,2.387,21.891177,48.384,9.171,43.392,,,,,,
sludge waste composting,8.23935,9.171,58.693,2.0,38.955,58.568,7.70802,1.2848,78.35,451.44,1.82,21.25942,46.111,11.681,17.955,,,,,,
sludge waste composting,8.23935,9.171,58.693,5.0,38.995,56.181,7.67794,1.2838,296.91,415.08,2.051,20.464878,45.48,9.978,15.86,,,,,,
sludge waste composting,8.23935,9.171,58.693,10.0,62.723,56.683,7.46742,1.6164,64.95,314.57,1.666,19.778752,42.449,11.872,18.554,,,,,,
sludge waste composting,8.23935,9.171,58.693,17.0,61.284,45.754,7.2619,1.6783,67.01,395.45,1.295,18.35015,42.323,14.17,58.953,,,,,,
sludge waste composting,8.23935,9.171,58.693,24.0,61.118,41.482,7.40226,1.7918,98.97,350.48,1.379,19.055022,43.207,13.818,65.536,,,,,,
sludge waste composting,8.23935,9.171,58.693,30.0,52.288,37.337,7.39223,1.8542,56.7,320.7,0.973,19.913418,42.323,20.466,90.374,,,,,,
sludge waste composting,8.23935,9.171,58.693,36.0,30.736,30.678,7.31203,1.7622,7.22,367.65,1.134,17.341128,43.081,15.292,93.067,,,,,,
sludge waste composting,7.60917,19.8776,67.291,1.0,48.497,67.291,7.60917,0.17716,2033.8,328.7,2.04159,40.581909384,73.5878,19.8776,25.07,,,,,,
sludge waste composting,7.60917,19.8776,67.291,3.0,65.129,66.023,7.77508,1.76472,5000.0,745.64,1.87693,38.085162016,72.7445,20.2912,27.811,,,,,,
sludge waste composting,7.60917,19.8776,67.291,5.0,67.247,66.079,8.18173,1.03347,5000.0,572.01,1.84266,37.072845072,72.9219,20.1192,28.103,,,,,,
sludge waste composting,7.60917,19.8776,67.291,7.0,57.086,64.389,8.32692,0.92256,5000.0,465.31,1.86055,36.47868752,71.8321,19.6064,16.93,,,,,,
sludge waste composting,7.60917,19.8776,67.291,10.0,49.286,62.457,8.71041,1.32849,4512.1,526.03,1.89642,34.634887386,69.4406,18.2633,14.311,,,,,,
sludge waste composting,7.60917,19.8776,67.291,13.0,44.215,60.224,8.58126,1.1769,4190.5,882.01,1.87613,33.666777624,69.2317,17.9448,16.13,,,,,,
sludge waste composting,7.60917,19.8776,67.291,16.0,42.989,56.187,8.42107,1.64927,4573.7,796.6,1.90395,32.5842003,69.6912,17.114,21.92,,,,,,
sludge waste composting,7.60917,19.8776,67.291,19.0,39.903,55.097,8.57671,1.43123,4232.0,851.2,1.96791,34.108406493,69.7991,17.3323,26.03,,,,,,
sludge waste composting,7.60917,19.8776,67.291,24.0,35.711,51.897,8.46334,1.47515,4001.5,905.7,2.06582,34.842739866,68.6058,16.8663,45.112,,,,,,
sludge waste composting,7.60917,19.8776,67.291,29.0,28.416,50.681,8.3137,1.61878,3549.5,941.91,2.12158,33.087313048,67.9405,15.5956,51.046,,,,,,
sludge waste composting,7.60917,19.8776,67.291,34.0,28.938,49.947,8.23911,1.21595,2795.5,1017.71,2.13922,32.470364692,65.5507,15.1786,60.344,,,,,,
sludge waste composting,7.60917,19.8776,67.291,41.0,30.461,47.946,7.89553,1.17852,2353.9,1123.84,2.18482,32.142634876,64.464,14.7118,75.591,,,,,,
sludge waste composting,7.60917,19.8776,67.291,48.0,30.992,47.328,7.72279,1.01551,1751.3,1166.02,2.20031,31.182353258,63.7298,14.1718,82.887,,,,,,
sludge waste composting,7.54704,21.0485,65.366,1.0,38.077,65.366,7.54704,0.40977,2104.2,362.2,1.9754,41.5792069,75.5239,21.0485,21.095,,,,,,
sludge waste composting,7.54704,21.0485,65.366,3.0,56.57,64.398,7.63525,1.69825,4349.6,818.69,1.90702,37.765289166,76.5811,19.8033,24.14,,,,,,
sludge waste composting,7.54704,21.0485,65.366,5.0,57.697,63.732,7.54747,2.2224,4148.7,565.93,1.92891,37.397514189,76.9348,19.3879,30.398,,,,,,
sludge waste composting,7.54704,21.0485,65.366,7.0,68.871,62.705,7.98779,1.68318,5000.0,440.97,1.89065,36.469315045,75.8098,19.2893,20.6,,,,,,
sludge waste composting,7.54704,21.0485,65.366,10.0,60.698,61.916,8.68972,1.06634,4411.5,775.65,1.83827,34.245867138,74.3686,18.6294,16.605,,,,,,
sludge waste composting,7.54704,21.0485,65.366,13.0,49.053,56.796,8.47513,0.98489,3445.6,1015.95,1.96038,33.840275598,71.5197,17.2621,20.257,,,,,,
sludge waste composting,7.54704,21.0485,65.366,16.0,44.85,52.338,8.5816,1.61237,4060.3,827.04,2.05243,34.875301046,71.6627,16.9922,21.003,,,,,,
sludge waste composting,7.54704,21.0485,65.366,19.0,40.151,50.826,8.51199,1.2946,3758.9,887.73,2.06821,31.155308619,71.3126,15.0639,39.792,,,,,,
sludge waste composting,7.54704,21.0485,65.366,24.0,44.766,48.889,8.4737,1.36806,3467.9,939.19,2.15008,31.491791744,69.8378,14.6468,58.11,,,,,,
sludge waste composting,7.54704,21.0485,65.366,29.0,32.014,47.073,8.42762,1.45263,2864.9,1118.47,2.19984,31.732692,67.5533,14.425,75.205,,,,,,
sludge waste composting,7.54704,21.0485,65.366,34.0,32.659,46.64,8.35306,1.01287,2322.3,1124.26,2.22351,30.170362488,66.4305,13.5688,82.82,,,,,,
sludge waste composting,7.54704,21.0485,65.366,41.0,28.476,45.659,7.75829,1.27819,1830.4,1260.8,2.29716,28.864734264,65.0626,12.5654,85.987,,,,,,
sludge waste composting,7.54704,21.0485,65.366,48.0,29.007,44.26,7.6477,1.05613,1560.0,1281.69,2.34274,28.34363989,64.5394,12.0985,86.098,,,,,,
sludge waste composting,7.37099,22.219,63.441,1.0,36.093,63.441,7.37099,0.60547,1681.4,432.21,1.94529,43.22239851,77.5656,22.219,28.128,,,,,,
sludge waste composting,7.37099,22.219,63.441,3.0,48.507,61.692,7.57313,1.59486,3846.3,739.54,1.78866,39.915021096,78.3413,22.3156,30.256,,,,,,
sludge waste composting,7.37099,22.219,63.441,5.0,66.504,60.845,7.63031,1.76455,3786.2,468.5,1.76644,38.90054168,77.9907,22.022,33.608,,,,,,
sludge waste composting,7.37099,22.219,63.441,7.0,65.149,61.021,7.50104,2.09302,4914.1,300.95,1.81441,37.653906407,77.0065,20.7527,21.822,,,,,,
sludge waste composting,7.37099,22.219,63.441,10.0,62.187,57.885,8.48001,1.33587,3364.4,723.9,1.85229,36.539939601,76.1992,19.7269,19.357,,,,,,
sludge waste composting,7.37099,22.219,63.441,13.0,52.03,55.653,8.28874,1.16581,3153.6,824.18,1.95638,36.58626238,72.8923,18.701,23.008,,,,,,
sludge waste composting,7.37099,22.219,63.441,16.0,52.913,51.556,8.45732,1.70467,3677.7,750.93,2.01431,35.013542144,72.8594,17.3824,36.141,,,,,,
sludge waste composting,7.37099,22.219,63.441,19.0,43.005,47.759,8.57154,1.36474,3295.8,808.59,2.09028,33.170235264,72.7558,15.8688,48.355,,,,,,
sludge waste composting,7.37099,22.219,63.441,24.0,42.533,45.701,8.50218,1.23146,2561.9,945.27,2.24638,32.409198174,68.8171,14.4273,55.052,,,,,,
sludge waste composting,7.37099,22.219,63.441,29.0,30.028,43.825,8.43795,1.3234,2331.4,1051.51,2.30415,32.338054005,69.1725,14.0347,63.278,,,,,,
sludge waste composting,7.37099,22.219,63.441,34.0,32.411,40.685,8.3349,0.89473,2120.9,1179.05,2.36593,31.987610193,68.0849,13.5201,78.386,,,,,,
sludge waste composting,7.37099,22.219,63.441,41.0,28.477,40.006,7.97319,1.17484,1649.2,1199.93,2.38741,29.067194232,66.1538,12.1752,84.304,,,,,,
sludge waste composting,7.37099,22.219,63.441,48.0,28.139,38.726,7.66843,1.28876,1217.7,1376.07,2.43303,28.961572605,65.5955,11.9035,90.379,,,,,,
sludge waste composting,7.55479,23.3166,61.456,1.0,32.868,61.456,7.55479,0.779,1812.3,474.84,1.96536,45.825512976,79.6776,23.3166,31.952,,,,,,
sludge waste composting,7.55479,23.3166,61.456,3.0,37.591,59.887,7.63269,1.11853,2910.0,675.63,1.72447,41.174480402,79.3621,23.8766,33.163,,,,,,
sludge waste composting,7.55479,23.3166,61.456,5.0,53.603,58.86,7.55781,1.13685,3272.9,705.93,1.70422,39.816373548,79.1523,23.3634,35.443,,,,,,
sludge waste composting,7.55479,23.3166,61.456,7.0,57.334,56.93,7.99557,1.62041,3857.1,340.52,1.74017,38.956837756,79.6112,22.3868,22.739,,,,,,
sludge waste composting,7.55479,23.3166,61.456,10.0,58.341,52.412,8.68454,1.5205,2941.6,696.5,1.77604,38.501172724,77.0086,21.6781,17.065,,,,,,
sludge waste composting,7.55479,23.3166,61.456,13.0,50.913,47.112,8.46998,1.20644,2549.6,729.8,1.84803,37.038771669,76.3067,20.0423,25.303,,,,,,
sludge waste composting,7.55479,23.3166,61.456,16.0,51.301,43.736,8.58939,1.77483,2983.1,699.18,1.93805,36.429719655,76.696,18.7971,33.847,,,,,,
sludge waste composting,7.55479,23.3166,61.456,19.0,45.609,42.947,8.50424,1.45335,2732.1,738.58,2.01004,36.162026628,75.9237,17.9907,53.094,,,,,,
sludge waste composting,7.55479,23.3166,61.456,24.0,43.401,42.453,8.46593,1.27576,2451.2,933.08,2.09792,34.565539712,73.5337,16.4761,66.674,,,,,,
sludge waste composting,7.55479,23.3166,61.456,29.0,30.154,40.577,8.42243,1.30863,2130.0,1011.94,2.24796,33.303752196,71.2493,14.8151,72.3,,,,,,
sludge waste composting,7.55479,23.3166,61.456,34.0,30.551,39.662,8.36081,1.05349,1557.2,1291.68,2.31175,32.834016425,68.9296,14.2031,75.633,,,,,,
sludge waste composting,7.55479,23.3166,61.456,41.0,27.981,37.299,7.76347,0.96065,1478.0,1349.09,2.35334,31.809155444,68.3714,13.5166,88.741,,,,,,
sludge waste composting,7.55479,23.3166,61.456,48.0,29.256,34.756,7.6503,1.0266,1308.3,1415.65,2.41296,30.370479744,66.7923,12.5864,92.366,,,,,,
sludge waste composting,7.24082,8.2935,59.408,0.0,36.716,59.408,7.24082,2.2319,4835.6,1.9913,3.03061,25.1579,50.2395,8.2935,65.132,,,,,,
sludge waste composting,7.24082,8.2935,59.408,3.0,86.44,55.464,7.57143,2.667,5000.0,5.4656,2.73852,22.0541,47.7525,8.1937,8.705,,,,,,
sludge waste composting,7.24082,8.2935,59.408,6.0,86.44,50.666,8.05714,2.929,5000.0,4.2284,2.55867,19.6349,45.7126,7.8764,24.293,,,,,,
sludge waste composting,7.24082,8.2935,59.408,12.0,73.111,44.358,8.11429,3.0229,5000.0,3.1725,2.60102,17.5329,44.7345,7.0028,51.727,,,,,,
sludge waste composting,7.24082,8.2935,59.408,18.0,68.494,39.367,8.19592,3.3581,5000.0,1.3487,2.62297,16.9045,40.3752,6.7269,63.885,,,,,,
sludge waste composting,7.24082,8.2935,59.408,24.0,29.926,40.625,8.13878,3.2622,5000.0,2.0499,2.69184,16.1974,40.1238,6.3315,96.93,,,,,,
sludge waste composting,7.24082,8.2935,59.408,36.0,36.444,39.26,8.1551,3.4255,5000.0,2.372,2.71938,16.0197,39.7884,6.2472,101.607,,,,,,
sludge waste composting,7.24082,8.2935,59.408,48.0,29.383,37.039,8.19184,3.4746,5000.0,3.2799,2.67553,15.8684,39.5928,6.2391,102.542,,,,,,
sludge waste composting,7.3102,8.4565,58.289,0.0,34.543,58.289,7.3102,2.2826,4532.6,1.8742,2.98571,25.1578,50.519,8.4565,60.456,,,,,,
sludge waste composting,7.3102,8.4565,58.289,3.0,47.037,56.452,7.61224,2.5612,5000.0,2.3289,2.8079,23.5805,49.1218,8.4872,27.41,,,,,,
sludge waste composting,7.3102,8.4565,58.289,6.0,48.99,55.074,7.95102,2.9095,5000.0,4.1893,2.48114,22.3192,46.6627,9.1589,1.847,,,,,,
sludge waste composting,7.3102,8.4565,58.289,12.0,43.235,52.648,8.20408,2.6932,5000.0,4.3438,2.4092,21.9275,46.5509,9.2853,0.911,,,,,,
sludge waste composting,7.3102,8.4565,58.289,18.0,55.457,49.893,8.54694,2.9016,5000.0,3.7825,2.47399,19.8519,44.008,8.216,6.835,,,,,,
sludge waste composting,7.3102,8.4565,58.289,24.0,51.383,48.125,8.62449,2.8311,5000.0,3.833,2.48163,18.6184,43.3373,7.7771,47.674,,,,,,
sludge waste composting,7.3102,8.4565,58.289,36.0,47.58,47.484,8.54694,2.8232,5000.0,3.7256,2.44389,18.0459,43.0579,7.6385,47.362,,,,,,
sludge waste composting,7.3102,8.4565,58.289,48.0,43.778,41.776,8.32653,3.1703,5000.0,4.3471,2.38979,17.5263,42.4711,7.5543,65.444,,,,,,
sludge waste composting,7.7459,14.3536,69.885,1.0,36.681,69.885,7.7459,2.0513,3186.0,149.03,3.4,52.0,63.3287,14.3536,42.4018,,,,,,
sludge waste composting,7.7459,14.3536,69.885,2.0,43.064,68.757,8.2418,1.9956,3785.2,221.63,3.261,43.2239028,61.5012,13.2548,34.2779,,,,,,
sludge waste composting,7.7459,14.3536,69.885,3.0,60.809,70.931,8.2418,3.70159999999999,5000.0,488.8,2.9107,37.49883917,59.6364,12.8831,34.9305,,,,,,
sludge waste composting,7.7459,14.3536,69.885,4.0,54.298,70.112,8.3169,3.34549999999999,5000.0,586.23,2.3431,29.27750312,58.2937,12.4952,27.8116,,,,,,
sludge waste composting,7.7459,14.3536,69.885,5.0,53.277,63.514,8.5724,3.00029999999999,5000.0,236.53,2.4698,30.74110664,57.7343,12.4468,29.3601,,,,,,
sludge waste composting,7.7459,14.3536,69.885,6.0,49.957,58.979,9.3989,2.4584,5000.0,261.5,2.2388,28.22768592,56.2797,12.6084,28.9334,,,,,,
sludge waste composting,7.7459,14.3536,69.885,7.0,49.319,61.05,9.3538,2.3654,5000.0,218.18,2.1551,26.30170244,55.9441,12.2044,24.6108,,,,,,
sludge waste composting,7.7459,14.3536,69.885,8.0,46.766,60.954,9.3689,2.428,5000.0,137.57,2.1977,26.04032753,55.9441,11.8489,31.4619,,,,,,
sludge waste composting,7.7459,14.3536,69.885,9.0,43.83,57.555,9.4139,2.4414,5000.0,162.56,2.0579,23.08675694,54.4522,11.2186,29.172,,,,,,
sludge waste composting,7.7459,14.3536,69.885,10.0,40.0,56.943,9.3839,2.2605,5000.0,160.63,2.2267,25.34029134,54.2657,11.3802,33.6932,,,,,,
sludge waste composting,7.7459,14.3536,69.885,11.0,37.191,53.75,9.2486,2.3618,5000.0,90.38,2.1991,24.59979233,54.0793,11.1863,38.5208,,,,,,
sludge waste composting,7.7459,14.3536,69.885,12.0,34.766,52.312,9.2637,2.3954,5000.0,125.71,2.1925,24.38432725,54.3776,11.1217,42.032,,,,,,
sludge waste composting,7.7459,14.3536,69.885,13.0,33.489,51.493,9.2186,2.4508,5000.0,150.69,2.2,22.72556,54.1538,10.3298,40.689,,,,,,
sludge waste composting,7.7459,14.3536,69.885,14.0,31.702,50.984,9.2486,2.4027,5000.0,154.97,2.2425,22.36736775,53.7063,9.9743,42.6062,,,,,,
sludge waste composting,7.7459,14.3536,69.885,15.0,20.979,50.062,9.0833,2.6595,5000.0,101.3,2.1378,19.59571614,53.296,9.1663,41.8315,,,,,,
sludge waste composting,7.7459,14.3536,69.885,16.0,17.787,48.933,8.918,2.5723,4594.7,80.73,2.2855,20.7651388,53.3333,9.0856,56.4763,,,,,,
sludge waste composting,5.65,12.9962,69.782,1.0,37.191,69.782,5.65,4.1737,3219.4,153.48,3.4,50.85153136,63.3287,12.9962,37.045,,,,,,
sludge waste composting,5.65,12.9962,69.782,2.0,36.936,64.628,6.8443,2.6798,3221.5,178.49,3.4,39.50522628,61.2401,11.3802,37.5158,,,,,,
sludge waste composting,5.65,12.9962,69.782,3.0,54.426,66.183,8.1516,3.59759999999999,4062.4,421.85,3.037,33.1385292,59.3753,10.9116,31.6562,,,,,,
sludge waste composting,5.65,12.9962,69.782,4.0,52.638,65.364,5.9727,4.0038,5000.0,438.92,3.0445,33.31870355,59.3007,10.9439,32.6258,,,,,,
sludge waste composting,5.65,12.9962,69.782,5.0,52.894,58.25,7.3702,3.2347,5000.0,187.02,2.4978,27.21453012,58.9277,10.8954,40.3464,,,,,,
sludge waste composting,5.65,12.9962,69.782,6.0,52.128,60.115,6.8893,3.731,5000.0,219.96,2.4001,24.48246006,58.4056,10.2006,41.1162,,,,,,
sludge waste composting,5.65,12.9962,69.782,7.0,47.021,55.374,6.8292,3.2467,5000.0,134.18,2.4778,25.99559092,57.3613,10.4914,43.141,,,,,,
sludge waste composting,5.65,12.9962,69.782,8.0,45.617,54.245,7.2049,2.8631,5000.0,95.9,2.5834,25.14139046,56.6527,9.7319,43.0734,,,,,,
sludge waste composting,5.65,12.9962,69.782,9.0,43.702,55.181,7.25,3.0109,5000.0,144.63,2.7172,25.74112248,56.3543,9.4734,41.5071,,,,,,
sludge waste composting,5.65,12.9962,69.782,10.0,41.021,50.233,6.9495,3.29059999999999,5000.0,174.38,2.5423,23.87880698,56.6154,9.3926,41.3325,,,,,,
sludge waste composting,5.65,12.9962,69.782,11.0,38.085,49.105,7.4454,3.0536,5000.0,101.28,2.2622,20.0781561,56.8392,8.8755,59.436,,,,,,
sludge waste composting,5.65,12.9962,69.782,12.0,34.894,48.699,7.3552,3.01449999999999,5000.0,134.17,2.9711,27.47405881,56.3543,9.2471,66.6673,,,,,,
sludge waste composting,5.65,12.9962,69.782,13.0,33.362,44.475,7.0246,3.0814,5000.0,146.52,2.4876,23.12373456,56.3543,9.2956,86.1618,,,,,,
sludge waste composting,5.65,12.9962,69.782,14.0,32.213,44.481,6.6639,3.2871,5000.0,150.96,2.6353,22.70811657,54.9371,8.6169,85.3745,,,,,,
sludge waste composting,5.65,12.9962,69.782,15.0,20.979,41.908,6.5287,3.05579999999999,5000.0,112.67,2.7551,23.29519703,55.049,8.4553,90.9244,,,,,,
sludge waste composting,5.65,12.9962,69.782,16.0,19.574,41.709,6.0929,3.1363,5000.0,82.29,2.7275,21.695626,54.5641,7.9544,90.5802,,,,,,
sludge waste composting,7.25,13.6264,69.782,1.0,25.319,69.782,7.25,2.2977,3272.90909090909,148.09,3.4,51.97926544,63.3287,13.6264,38.551,,,,,,
sludge waste composting,7.25,13.6264,69.782,2.0,39.745,66.589,6.5738,3.1135,4236.36363636364,205.5,2.6718,34.29148428,62.993,12.8346,30.4552,,,,,,
sludge waste composting,7.25,13.6264,69.782,3.0,62.851,70.208,6.8142,4.72879999999999,5000.0,396.61,2.6091,32.51695239,61.8741,12.4629,29.685,,,,,,
sludge waste composting,7.25,13.6264,69.782,4.0,57.106,65.158,7.3251,3.67129999999999,5000.0,413.77,2.6166,28.84723002,59.8601,11.0247,28.7731,,,,,,
sludge waste composting,7.25,13.6264,69.782,5.0,53.915,59.901,7.8511,3.78209999999999,5000.0,219.58,2.7644,32.04022532,59.1142,11.5903,34.777,,,,,,
sludge waste composting,7.25,13.6264,69.782,6.0,52.383,55.676,8.5874,2.8225,5000.0,226.68,2.7368,29.24380272,57.1375,10.6854,30.5923,,,,,,
sludge waste composting,7.25,13.6264,69.782,7.0,52.894,55.064,9.1434,2.5402,5000.0,78.5,2.3936,24.57078272,56.6527,10.2652,34.8299,,,,,,
sludge waste composting,7.25,13.6264,69.782,8.0,50.723,53.006,8.362,2.55859999999999,4381.90909090909,102.85,2.387,24.0401931,56.2424,10.0713,40.2876,,,,,,
sludge waste composting,7.25,13.6264,69.782,9.0,52.766,53.53,8.4221,3.1614,5000.0,135.82,2.9136,29.95588704,55.683,10.2814,37.5259,,,,,,
sludge waste composting,7.25,13.6264,69.782,10.0,49.574,48.273,7.9262,3.10879999999999,5000.0,95.47,2.423,23.0715637,55.4965,9.5219,53.8194,,,,,,
sludge waste composting,7.25,13.6264,69.782,11.0,43.191,43.945,7.776,3.23709999999999,5000.0,109.75,2.7882,25.8731019,55.2354,9.2795,69.5647,,,,,,
sludge waste composting,7.25,13.6264,69.782,12.0,40.511,41.681,7.9112,3.15459999999999,5000.0,129.78,2.5923,23.63633217,54.1166,9.1179,79.6909,,,,,,
sludge waste composting,7.25,13.6264,69.782,13.0,39.489,39.727,7.8962,3.08699999999999,5000.0,149.81,2.3824,21.49139216,53.1096,9.0209,78.8458,,,,,,
sludge waste composting,7.25,13.6264,69.782,14.0,36.17,43.862,7.9112,2.9837,5000.0,120.96,2.2285,19.38282445,52.289,8.6977,74.8192,,,,,,
sludge waste composting,7.25,13.6264,69.782,15.0,22.511,41.186,7.5505,2.68859999999999,5000.0,99.3,2.5446,20.03516256,50.5361,7.8736,89.5178,,,,,,
sludge waste composting,7.25,13.6264,69.782,16.0,20.723,37.477,7.6407,2.8469,5000.0,81.95,2.5872,18.7817784,50.3497,7.2595,90.0156,,,,,,
sludge waste composting,7.6397,16.5726,73.373,1.0,31.481,73.373,7.6397,2.531,4118.2,199.39,3.4,52.0,79.9286,16.5726,38.5185,,,,,,
sludge waste composting,7.6397,16.5726,73.373,2.0,61.363,69.928,8.791,3.11329999999999,5000.0,183.48,3.4,52.0,76.8159,15.0061,38.9337,,,,,,
sludge waste composting,7.6397,16.5726,73.373,3.0,64.959,65.952,8.8396,3.13409999999999,5000.0,273.64,3.4,52.0,76.6443,14.4552,44.164,,,,,,
sludge waste composting,7.6397,16.5726,73.373,4.0,55.635,61.048,9.1471,3.55049999999999,5000.0,302.27,3.3113,45.40520786,76.4318,13.7122,50.2322,,,,,,
sludge waste composting,7.6397,16.5726,73.373,5.0,60.132,60.518,9.2436,3.27209999999999,5000.0,241.82,2.6115,35.589522,74.8935,13.628,38.2062,,,,,,
sludge waste composting,7.6397,16.5726,73.373,6.0,56.066,58.928,9.3114,3.18629999999999,5000.0,159.09,2.8896,38.9778144,74.8049,13.489,56.4891,,,,,,
sludge waste composting,7.6397,16.5726,73.373,7.0,46.593,58.133,9.2161,2.5299,5000.0,167.58,2.537,33.2418036,74.2607,13.1028,39.5572,,,,,,
sludge waste composting,7.6397,16.5726,73.373,8.0,50.187,57.337,9.1017,3.0241,5000.0,198.33,3.4,41.24835372,73.9238,11.6186,35.0907,,,,,,
sludge waste composting,7.6397,16.5726,73.373,9.0,47.173,57.072,9.2366,2.6653,5000.0,113.48,2.7751,30.86632726,73.6281,11.1226,39.3884,,,,,,
sludge waste composting,7.6397,16.5726,73.373,10.0,45.812,54.554,8.6811,2.596,5000.0,149.55,2.7118,27.84964364,72.8769,10.2698,36.6741,,,,,,
sludge waste composting,7.6397,16.5726,73.373,11.0,47.153,49.12,8.6434,2.6668,5000.0,180.3,2.4865,25.05372535,72.3742,10.0759,48.0397,,,,,,
sludge waste composting,7.6397,16.5726,73.373,12.0,43.238,48.458,8.5577,2.4153,5000.0,79.55,2.348,23.3313716,70.8771,9.9367,52.8565,,,,,,
sludge waste composting,7.6397,16.5726,73.373,13.0,39.923,47.53,8.731,2.6163,5000.0,147.42,2.331,19.1908899,70.3331,8.2329,57.4493,,,,,,
sludge waste composting,7.6397,16.5726,73.373,14.0,34.656,47.53,9.0001,2.8298,5000.0,219.55,2.7597,22.18495233,69.2088,8.0389,63.538,,,,,,
sludge waste composting,7.6397,16.5726,73.373,15.0,31.34,46.47,8.6843,2.8141,5000.0,210.0,2.9973,23.59594452,68.4576,7.8724,66.8213,,,,,,
sludge waste composting,7.6397,16.5726,73.373,16.0,26.974,44.217,8.7425,2.96609999999999,5000.0,315.0,3.0093,22.1153457,66.5461,7.349,69.3952,,,,,,
sludge waste composting,7.2178,16.1883,72.313,1.0,30.279,72.313,7.2178,2.3096,3828.0,97.57,3.4,52.0,79.9286,16.1883,36.8433,,,,,,
sludge waste composting,7.2178,16.1883,72.313,2.0,66.471,69.53,8.8677,3.0488,5000.0,173.37,3.4,51.50268754,78.5972,13.5238,44.8993,,,,,,
sludge waste composting,7.2178,16.1883,72.313,3.0,72.319,62.373,8.6479,2.7036,5000.0,199.94,2.3966,28.45914568,74.6969,11.8748,52.276,,,,,,
sludge waste composting,7.2178,16.1883,72.313,4.0,64.948,61.711,8.9937,3.12989999999999,5000.0,169.05,3.3403,39.20075871,74.4017,11.7357,53.8628,,,,,,
sludge waste composting,7.2178,16.1883,72.313,5.0,62.085,64.229,8.9464,2.9147,5000.0,222.07,2.762,30.0585698,73.6089,10.8829,51.5913,,,,,,
sludge waste composting,7.2178,16.1883,72.313,6.0,57.718,60.12,8.9758,3.06169999999999,5000.0,173.86,2.907,31.2325173,73.3962,10.7439,41.5494,,,,,,
sludge waste composting,7.2178,16.1883,72.313,7.0,50.048,55.747,8.7271,2.8114,5000.0,150.27,2.9595,31.3032234,73.3905,10.5772,50.919,,,,,,
sludge waste composting,7.2178,16.1883,72.313,8.0,50.939,49.253,8.6415,3.2119,5000.0,158.6,3.3708,34.35215988,73.0121,10.1911,43.1192,,,,,,
sludge waste composting,7.2178,16.1883,72.313,9.0,48.825,48.325,8.7476,3.024,5000.0,161.46,3.3422,33.04566828,72.8407,9.8874,47.5136,,,,,,
sludge waste composting,7.2178,16.1883,72.313,10.0,47.313,46.072,8.4701,2.9887,5000.0,126.01,3.25,31.94945,72.1309,9.8306,61.015,,,,,,
sludge waste composting,7.2178,16.1883,72.313,11.0,45.05,42.096,8.5859,3.22,5000.0,141.64,3.4,33.1158222,71.9181,9.417,60.4288,,,,,,
sludge waste composting,7.2178,16.1883,72.313,12.0,40.834,46.205,8.4235,2.72669999999999,5000.0,100.72,2.9614,27.3944307,71.8298,9.2505,69.8804,,,,,,
sludge waste composting,7.2178,16.1883,72.313,13.0,36.918,46.072,8.4241,2.762,5000.0,166.5,2.7419,25.43413859,71.2442,9.2761,74.0622,,,,,,
sludge waste composting,7.2178,16.1883,72.313,14.0,36.008,43.289,8.4056,3.0734,5000.0,213.13,3.211,26.7826299,70.8658,8.3409,81.7451,,,,,,
sludge waste composting,7.2178,16.1883,72.313,15.0,32.842,40.241,8.4062,3.0633,5000.0,126.62,3.4,27.33887951,65.5572,7.9273,88.2953,,,,,,
sludge waste composting,7.2178,16.1883,72.313,16.0,28.777,41.964,8.2918,3.239,5000.0,266.27,3.4,22.60183064,65.4689,6.3608,90.8601,,,,,,
sludge waste composting,7.5246,16.6,71.651,1.0,34.034,71.651,7.5246,2.0866,4275.3,135.35,3.4,52.0,79.5557,16.6,41.7497,,,,,,
